Region,Country,Election Type,Date,Year,Month,Day,Month_Name,Day_Name
Americas,Mexico,General,"Sunday, 2 June 2024",2024,6,2,June,Sunday
Europe,Moldova,Presidential,"Sunday, 20 October 2024",2024,10,20,October,Sunday
Asia,Mongolia,Parliamentary,"Friday, 28 June 2024",2024,6,28,June,Friday
Africa,Mozambique,General,"Wednesday, 9 October 2024",2024,10,9,October,Wednesday
Africa,Namibia,"Presidential, Legislative","Wednesday, 27 November 2024",2024,11,27,November,Wednesday
Asia,North Korea,TBD- Parliamentary,TBD,TBD,TBD,TBD,TBD,TBD
Asia,North Macedonia,Presidential,"Wednesday, 24 April 2024",2024,4,24,April,Wednesday
Asia,North Macedonia,Parliamentary,"Wednesday, 8 May 2024",2024,5,8,May,Wednesday
Asia,Pakistan,General,"Thursday, 8 February 2024",2024,2,8,February,Thursday
Oceania,Palau,General,"Tuesday, 5 November 2024",2024,11,5,November,Tuesday
Asia,Panama,General,"Sunday, 5 May 2024",2024,5,5,May,Sunday
Europe,Portugal,Parliamentary,"Sunday, 10 March 2024",2024,3,10,March,Sunday
Americas,Puerto Rico,General,"Tuesday, 5 November 2024",2024,11,5,November,Tuesday
Europe,Romania,Presidential,"Sunday, 24 November 2024",2024,11,24,November,Sunday
Europe,Romania,Parliamentary,"Sunday, 1 December 2024",2024,12,1,December,Sunday
Europe,Russia,Presidential,"Friday, 15 March 2024",2024,3,15,March,Friday
Africa,Rwanda,"Presidential, Parliamentary","Monday, 15 July 2024",2024,7,15,July,Monday
Europe,San Marino,General,"Sunday, 9 June 2024",2024,6,9,June,Sunday
Africa,Senegal,Presidential,"Sunday, 24 March 2024",2024,3,24,March,Sunday
Africa,Senegal,Parliamentary,"Sunday, 17 November 2024",2024,11,17,November,Sunday
Americas,Sint Maarten,General,"Thursday, 11 January 2024",2024,1,11,January,Thursday
Europe,Slovakia,Presidential,"Saturday, 23 March 2024",2024,3,23,March,Saturday
Oceania,Solomon Islands,General,"Wednesday, 17 April 2024",2024,4,17,April,Wednesday
Africa,Somaliland,Presidential,"Wednesday, 13 November 2024",2024,11,13,November,Wednesday
Africa,South Africa,General,"Wednesday, 29 May 2024",2024,5,29,May,Wednesday
Asia,South Korea,Parliamentary,"Wednesday, 10 April 2024",2024,4,10,April,Wednesday
Africa,South Sudan,General,TBD,TBD,TBD,TBD,TBD,TBD
Asia,Sri Lanka,Presidential,"Saturday, 21 September 2024",2024,9,21,September,Saturday
Asia,Sri Lanka,Parliamentary,"Thursday, 14 November 2024",2024,11,14,November,Thursday
Asia,Syria,Parliamentary,"Monday, 15 July 2024",2024,7,15,July,Monday
Asia,Taiwan,Presidential,"Saturday, 13 January 2024",2024,1,13,January,Saturday
Africa,Togo,Parliamentary,"Saturday, 20 April 2024",2024,4,20,April,Saturday
Africa,Tunisia,Presidential,"Sunday, 6 October 2024",2024,10,6,October,Sunday
Oceania,Tuvalu,Parliamentary,"Friday, 26 January 2024",2024,1,26,January,Friday
Europe,United Kingdom,Parliamentary,"Thursday, 4 July 2024",2024,7,4,July,Thursday
Americas,United States,General,"Tuesday, 5 November 2024",2024,11,5,November,Tuesday
Americas,Uruguay,General,"Sunday, 27 October 2024",2024,10,27,October,Sunday
Asia,Uzbekistan,Parliamentary,"Sunday, 27 October 2024",2024,10,27,October,Sunday
Asia,Venezuela,Presidential,"Sunday, 28 July 2024",2024,7,28,July,Sunday
